Sort_Id,Category,Label,Internal,Type,SFDC2014obj,SalesForce,SFDC2015obj,SFDC2015field,Object,JIRA_field,JIRA_set_special,JIRA_direct,JIRA_description,Comments,lineitems,,,,,,,DeliveryPlan
208,,2,li[2].io_line_item,String,Opportunity,IO_Line_Item_Retargeting__c,,,LineItem,customfield_12274,,,,,,,,,,,,
209,,2,li[2].media_channel,String,Opportunity,LineItem2MediaChannel__c,,,LineItem,customfield_12274,,,,,,,,,,,,
210,,2,li[2].pricing_term,String,Opportunity,Line_Item_2_Pricing_Term__c,,,LineItem,customfield_12274,,,,,,,,,,,,
211,,2,li[2].product,String,Opportunity,Line_Item_2_Product__c,,,LineItem,customfield_12274,,,,,,,,,,,,
212,,2,li[2].secondary_optimization_goal,String,Opportunity,Line_Item_2_Secondary_Optimization_Goal__c,,,LineItem,customfield_12274,,,,,,,,,,,,
301,,3,li[3].add_on,String,Opportunity,Line_Item_3_Add_on__c,,,LineItem,customfield_12274,,,,,,,,,,,,
302,,3,li[3].amount,Decimal,Opportunity,LineItem3Amount__c,,,LineItem,customfield_12274,,,,,,,,,,,,
303,,3,li[3].bonus_impressions,Integer,Opportunity,Bonus_Impressions_Brand__c,,,LineItem,customfield_12274,,,,,,,,,,,,
304,,3,li[3].cost,Decimal,Opportunity,Cost_Brand__c,,,LineItem,customfield_12274,,,,,,,,,,,,
305,,3,li[3].flight_instructions,String,Opportunity,Flight_Instructions_Brand__c,,,LineItem,customfield_12274,,,,,,,,,,,,
306,,3,li[3].goal,String,Opportunity,Goal_Brand__c,,,LineItem,customfield_12274,,,,,,,,,,,,
307,,3,li[3].impressions,Integer,Opportunity,Impressions_Brand__c,,,LineItem,customfield_12274,,,,,,,,,,,,
308,,3,li[3].io_line_item,String,Opportunity,IO_Line_Item_Brand__c,,,LineItem,customfield_12274,,,,,,,,,,,,
309,,3,li[3].media_channel,String,Opportunity,LineItem3MediaChannel__c,,,LineItem,customfield_12274,,,,,,,,,,,,
